GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	Q9HCK8	CHD8	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q09XV5|ensembl:ENSMUSP00000142890	9606	Ensembl		P
UniProtKB	Q9HDB5	NRXN3	involved_in	GO:0035176	social behavior	ECO:0000316	IGI	PMID:22209245	UniProtKB:Q9Y4C0	9606	BHF-UCL		P
UniProtKB	Q9NPJ1	MKKS	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JI70|ensembl:ENSMUSP00000105716	9606	Ensembl		P
UniProtKB	Q9NPJ1	MKKS	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9JI70	9606	BHF-UCL		P
UniProtKB	Q9NZ94	NLGN3	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:12669065		9606	UniProt		P
UniProtKB	Q9NZC2	TREM2	acts_upstream_of_positive_effect	GO:0035176	social behavior	ECO:0000315	IMP	PMID:29752066		9606	ARUK-UCL		P
UniProtKB	Q9NZC2	TREM2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q99NH8|ensembl:ENSMUSP00000108863	9606	Ensembl		P
UniProtKB	Q9P2S2	NRXN2	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:21424692		9606	BHF-UCL		P
UniProtKB	Q9UBY8	CLN8	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9QUK3|ensembl:ENSMUSP00000027554	9606	Ensembl		P
UniProtKB	Q9UHC6	CNTNAP2	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:19896112		9606	BHF-UCL		P
UniProtKB	Q9UHC6	CNTNAP2	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:18179893		9606	BHF-UCL		P
UniProtKB	Q9ULB1	NRXN1	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:19896112		9606	BHF-UCL		P
UniProtKB	Q9ULB1	NRXN1	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:18057082		9606	BHF-UCL		P
UniProtKB	Q9ULK0	GRID1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61627|ensembl:ENSMUSP00000044009	9606	Ensembl		P
UniProtKB	Q9ULK0	GRID1	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q61627	9606	CAFA		P
UniProtKB	Q9UPX8	SHANK2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9QX74|ensembl:ENSRNOP00000065891	9606	Ensembl		P
UniProtKB	Q9UPX8	SHANK2	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:20473310		9606	BHF-UCL		P
UniProtKB	Q9Y466	NR2E1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q64104|ensembl:ENSMUSP00000019938	9606	Ensembl		P
UniProtKB	Q9Y4C0	NRXN3	involved_in	GO:0035176	social behavior	ECO:0000316	IGI	PMID:22209245	UniProtKB:Q9HDB5	9606	BHF-UCL		P
UniProtKB	Q9Y566	SHANK1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D3YZU1|ensembl:ENSMUSP00000103571	9606	Ensembl		P
UniProtKB	Q9Y566	SHANK1	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:22503632		9606	BHF-UCL		P
UniProtKB	X5D2B0	AVPR1A	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P30560|ensembl:ENSRNOP00000005829	9606	Ensembl		P
UniProtKB	X5D7H2	GRPR	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P52500|ensembl:ENSRNOP00000005559	9606	Ensembl		P
UniProtKB	X5D7H2	GRPR	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P21729|ensembl:ENSMUSP00000033730	9606	Ensembl		P
UniProtKB	X5D7M6	OXT	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01179|ensembl:ENSRNOP00000028829	9606	Ensembl		P
UniProtKB	X5DNX9	PTCHD1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q14B62|ensembl:ENSMUSP00000039443	9606	Ensembl		P
UniProtKB	X5DQP6	AVP	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01186|ensembl:ENSRNOP00000028833	9606	Ensembl		P
